"playerid","passyards","passattempts","passtd","passint"
"20020034",0,1,0,0
"20050003",17,1,0,0
"20000529",0,8,0,0
"19990460",-1,2,0,0
"20191173",45,10,1,1
"20040248",0,5,0,0
"20190166",362,47,1,4
"19930420",0,30,1,1
"20150146",12,1,0,0
"20110208",1169,144,5,3
"20120088",19545,2294,92,54
"19970478",14650,2855,125,95
"20090531",21,2,1,0
"19910407",0,43,0,2
"19940402",16163,2845,130,76
"20080404",50,4,0,0
"20090729",1957,229,5,5
"20090412",2,1,0,0
"20180584",199,24,0,0
"20060452",937,99,4,6
"19960402",5687,764,27,23
"20170119",51,4,2,0
"20070009",43,2,0,0
"20150729",180,20,0,0
"20180044",-4,1,0,0
"20160796",60,2,0,1
"20010605",4135,590,14,9
"20060586",654,62,3,5
"20080205",52,1,0,0
"20180726",12,1,0,1
"20010149",208,359,6,14
"19930419",862,367,10,13
"20180219",731,72,2,2
"20040126",-2,1,0,0
"20050213",19388,2193,79,80
"19940197",4926,1220,44,45
"20130008",11,1,0,0
"20160165",9,1,0,1
"20160690",639,73,3,2
"20040202",299,157,4,8
"20140833",40,4,0,0
"20100168",566,59,1,5
"20080162",825,68,5,0
"20100122",1847,216,7,9
"20180108",1036,104,5,3
"20150937",386,45,2,2
"20060164",245,34,1,0
"20030200",1341,546,13,12
"20080160",6201,700,23,20
"20130165",-3,2,0,0
"20070701",14854,1610,62,54
"20090501",19028,2094,69,50
"20040799",0,1,0,0
"20110001",44734,4739,209,130
"20130039",10193,1203,39,47
"20150627",2,1,1,0
"20060100",23,2,0,0
"20170012",13932,1504,79,36
"20100022",9,1,0,0
"20050627",30,2,0,0
"20120755",27,2,0,0
"20070151",563,80,2,2
"20090050",29,1,1,0
"20020065",6,1,0,0
"20090164",0,0,0,0
"20090554",14,2,0,1
"20170010",13921,1520,100,26
"20050069",4309,521,6,21
"20070776",9,1,0,0
"20160605",98,8,0,1
"20120689",3241,413,14,12
"20010074",0,1,0,0
"20180947",-1,1,0,0
"20120827",455,65,1,4
"20110064",17,3,0,0
"20050531",0,1,0,0
"20130237",602,50,5,0
"20100024",10,1,1,0
"20100087",29,2,0,0
"20130063",46,1,0,1
"20010125",50,53,2,1
"20130820",7,2,0,0
"19960007",0,1,0,0
"19990050",602,196,3,7
"20040718",1635,181,4,4
"20040006",0,0,0,0
"20190529",312,36,2,1
"20070174",4004,415,12,12
"20140613",39,3,1,0
"20010169",21,1,0,0
"20000174",21,1,0,1
"20000007",-13,1,0,0
"20040658",0,13,0,1
"20030192",135,90,1,4
"20050055",0,1,0,0
"19970798",-11,1,0,0
"20070101",7,1,0,0
"19940409",0,255,10,9
"20160405",80,5,0,0
"20120519",51,2,0,0
"20040216",77,3,0,1
"20190178",4383,606,22,8
"20020003",6480,1781,57,49
"20050488",2,1,0,0
"20160187",2015,238,10,3
"20020163",0,24,0,0
"20060414",72,10,0,2
"20090196",1244,197,5,11
"20060010",8225,994,26,32
"20100171",-14,1,0,0
"20190636",2085,236,6,9
"20110062",5,1,0,0
"20000153",26,1,0,0
"20030163",1478,212,7,7
"20170534",1321,159,12,1
"20160135",20596,2426,118,43
"20020108",20967,2706,105,64
"20110126",33,2,0,0
"20060030",22,1,1,0
"20180563",851,102,4,1
"20060060",31,2,1,1
"20150001",31421,2964,136,96
"20120794",495,49,1,1
"20140036",29215,3672,160,69
"19970207",134,167,1,8
"20080055",17,2,1,0
"20180405",499,56,2,1
"20040015",13,1,0,0
"20140213",221,18,1,0
"20020051",20,8,3,0
"19980187",31648,4970,197,145
"19930118",3813,1328,50,30
"20110135",962,102,1,4
"20190621",303,56,3,0
"20180942",585,69,3,1
"20160931",122,10,0,2
"20070142",50,2,0,0
"20020207",9,2,1,0
"20040224",11,1,0,0
"20030515",19,2,0,0
"20110074",6221,763,23,19
"19920230",0,39,1,0
"19980060",3762,476,18,16
"20110005",17,1,0,0
"20120069",30,1,0,0
"20060003",17436,1791,56,61
"20190206",6,1,0,0
"20140214",1791,205,5,2
"20190468",457,59,1,1
"19850285",0,84,3,1
"20110010",15781,2000,60,53
"20170790",2770,389,16,15
"20140004",0,0,0,0
"20050145",9119,1135,33,34
"20110114",42,3,2,0
"20191036",136,22,1,1
"20120440",55,5,0,0
"20140032",9922,1377,50,28
"20050085",394,64,0,4
"20110160",211,28,0,2
"20090001",53843,6536,290,155
"19970095",31,5,0,0
"20120678",15,1,0,0
"20060223",1320,116,2,6
"20100048",5284,742,13,20
"20140596",1455,197,6,2
"20060434",185,23,1,0
"20050250",47165,5597,237,178
"20151103",524,58,3,0
"19990078",0,3,0,0
"20050615",485,53,0,4
"20090201",5124,610,18,25
"20170171",2492,362,11,14
"19940423",0,1,0,0
"20080018",63557,7228,266,165
"20090178",408,42,3,1
"20090222",33,2,0,0
"20100176",1628,168,5,7
"19940033",20,5,0,0
"20130027",26,3,1,1
"20070559",86,17,1,1
"20010421",0,0,0,0
"20110152",5891,673,19,22
"20170037",13,1,0,0
"20140012",184,5,2,0
"20020574",0,2,1,0
"20060117",30,2,0,0
"20070044",248,8,0,0
"20140003",25291,3131,119,82
"20120868",15,1,0,0
"20100204",200,33,0,0
"20030534",33,1,0,0
"20080174",32,1,0,0
"20120001",36595,4098,201,109
"20120875",3161,322,8,10
"20000199",81915,10881,584,199
"20110819",7,1,0,0
"20070037",21,1,0,0
"20100710",26,1,0,0
"20060057",0,0,0,0
"20090648",37,5,0,1
"20130016",8205,957,35,20
"20110575",10,1,1,0
"20040106",5424,897,41,25
"20150020",8,1,0,0
"20010471",0,2,1,0
"20060002",35,2,0,1
"20120057",13926,1652,50,43
"20100030",15,1,0,0
"20010036",37,1,0,0
"20040001",75854,9477,409,268
"20000212",1367,683,26,24
"20140666",75,10,0,1
"20050099",12,3,0,0
"20190495",341,49,1,2
"20160064",17,1,1,0
"20080042",18,1,0,0
"20030132",0,0,0,0
"20140712",123,10,0,0
"20140534",651,84,4,2
"20130249",1127,143,2,1
"19910033",24136,4212,189,148
"20190502",170,13,0,1
"20070670",26,1,0,1
"20080156",2073,232,5,4
"20120207",8,1,0,0
"20060064",12459,1435,50,39
"20120511",20645,2627,85,53
"20060081",8199,902,28,23
"19920025",0,175,4,7
"20100222",0,0,0,0
"20080209",5930,688,31,20
"20110537",130,13,0,1
"20090044",627,77,0,3
"20100078",-4,1,0,0
"20090562",716,75,1,1
"20020590",0,3,0,0
"20070662",217,24,0,0
"20141042",26,3,0,0
"20040187",0,46,0,0
"20030991",57,2,1,0
"20040003",84,5,1,0
"20170008",29,3,1,0
"20040250",247,100,5,1
"20190497",495,60,2,2
"20120243",669,55,1,3
"20130182",-4,1,0,0
"20110623",15,2,0,1
"20040208",0,1,0,0
"20120253",1616,169,5,4
"20160552",1808,188,4,1
"20190015",2559,272,9,9
"20120629",197,27,0,1
"20130839",5180,659,25,22
"20020483",0,22,1,2
"20150870",2460,279,11,8
"20090455",137,15,0,0
"19990001",28,38,0,0
"20130491",3885,455,15,10
"19980466",0,1,0,0
"20050548",0,14,0,0
"20080024",3,1,0,0
"20070690",1223,165,5,9
"20080434",45,2,0,0
"20080223",242,26,0,2
"20140560",87,4,0,0
"20090209",-6,1,0,0
"20160483",23,1,0,0
"20190104",1156,159,5,3
"20030019",6706,1657,52,54
"20160091",9936,1235,38,14
"20070643",231,26,0,1
"20170110",12,1,0,0
"20120002",12666,1486,54,34
"20050541",1006,141,3,4
"20010032",74490,10788,594,234
"20100195",118,7,1,1
"20050617",31,1,0,0
"20020117",0,84,2,4
"20070747",136,19,0,2
"20140022",2839,370,10,8
"19910326",0,1,0,0
"20060787",-6,2,0,1
"20160026",2817,318,11,7
"20080553",10,1,0,0
"20180220",949,97,3,2
"20030149",19,3,0,1
"19960001",20,3,0,1
"19990046",-4,1,0,0
"19930144",0,1,1,0
"20030197",38,3,0,0
"20030124",31,1,0,0
"20190006",4244,523,26,12
"20080056",1511,198,0,10
"20160093",3552,510,11,5
"20080057",20714,2565,80,81
"20070112",21,2,0,0
"20110583",0,0,0,0
"20050024",68977,7640,454,118
"20120075",46518,4805,278,88
"20151061",10,1,0,0
"20180171",1111,145,1,2
"20170002",12824,1492,54,32
"19950003",5408,1571,49,43
"20050106",21961,3212,117,87
"20160223",522,72,2,2
"20180249",654,85,4,0
"20140062",10001,1297,63,33
"20170104",4095,545,19,17
"20000466",0,69,2,2
"20040022",7348,1190,38,40
"20120100",22,1,0,0
"20170087",1191,139,1,4
"20160002",18588,2220,103,39
"20070205",1925,258,9,15
"20180617",152,15,0,2
"20020032",1814,638,21,23
"19980489",0,40,1,0
"19990005",3,1,0,1
"20000075",4079,549,18,15
"20120642",15,1,0,0
"20030088",296,78,3,2
"19960018",0,0,0,0
"20010030",16,1,0,1
"20150250",9678,1111,39,29
"20170841",277,35,1,1
"20190572",100,13,0,1
"20140106",10,1,0,0
"20180076",3516,387,19,11
"20120415",1395,152,5,7
"20060011",50255,5637,253,175
"20060049",10326,1155,31,37
"20100719",34,1,1,0
"20050229",0,29,1,1
"20190100",1130,117,2,7
"20120833",22,2,0,1
"19890141",0,24,1,1
"20120840",3,1,0,0
"20060489",3,1,0,0
"20010059",855,196,7,10
"20060645",-2,1,0,0
"19980086",0,176,3,5
"20190705",59,8,0,0
"20180418",994,102,1,4
"20100085",10707,1377,51,43
"20100089",32,5,0,0
"20040217",82,116,1,6
"20130098",7667,757,24,33
"19960130",0,55,2,0
"20100250",607,74,1,1
"20110105",2,1,0,0
"20030241",1645,619,10,24
"20110628",12,1,1,0
"20130144",2,1,1,0
"20080004",84,4,1,0
"20150103",3886,429,12,13
"20050815",34,5,1,0
"19950045",2751,442,15,12
"20140577",577,69,1,1
"20000432",819,142,5,4
"20120083",258,9,4,0
"20160117",16,1,0,1
"19880076",0,106,4,10
"19960042",0,114,2,4
"20050483",-4,1,0,0
"20130563",674,78,2,2
"20010532",0,1,0,0
"20110473",34,2,0,0
"20030069",25,1,0,0
"20040090",31276,4262,166,109
"20040489",45,8,1,0
"20180010",5159,614,13,21
"20110051",3,1,0,0
"20180724",325,21,1,0
"20070022",7176,900,24,26
"20050497",0,1,0,0
"20060079",17,2,0,1
"20120456",37,5,0,1
"20090620",1491,150,7,1
"19980480",16,2,0,0
"20160051",1004,140,3,6
"20140130",8,1,0,0
"20100541",208,27,2,2
"20000234",0,24,1,0
"20191006",5,1,0,0
"20040024",2,1,1,0
"20010155",3367,911,26,32
"19990437",33,6,2,0
"20170135",1738,155,8,8
"20180032",7126,781,50,13
"20180609",15,2,0,0
"20140135",5008,610,15,10
"20130112",237,36,1,0
"20130194",2,1,0,0
"20090232",64,6,2,0
"20190854",-3,1,0,0
"20120102",30796,3773,176,82
"20140779",26,1,1,0
"20100647",118,21,0,0
"20110056",17,1,0,1
"20030454",0,27,0,0
"20170650",52,3,1,1
"20060500",-3,1,0,1
"19970036",0,1,0,0
"20160001",18038,2231,94,49
"20110071",30,3,1,0
"20160191",1583,261,13,4
"20030022",16886,2088,78,74
"20040193",1642,446,13,10
"20020401",3166,367,25,13
"20110036",19989,2144,87,42
"19980091",4222,1150,51,41
"20070043",10905,1054,38,32
"20050121",189,51,4,1
"20040225",64,101,2,4
"20190042",1644,227,8,5
"19970457",1,1,1,0
"20160201",2702,333,9,13
"20020625",18,7,0,1
"20060119",45,1,0,0
"20100209",547,65,1,4
"20040201",28,50,1,3
"20060148",438,47,0,2
"20160045",32,5,1,0
"20060025",34,1,0,1
"20180165",-11,5,0,1
"20120008",32521,3784,170,89
"19870001",1401,848,25,35
"20170215",250,46,3,1
"19890146",0,3,0,0
"20130189",2,1,1,0
"20030110",8975,1271,48,29
"20040087",0,1,0,0
"20010005",50,11,6,0
"20070493",155,23,0,1
"19920166",0,114,5,3
"19930426",3,1,0,0
"20040218",283,65,2,2
"20190418",128,16,0,1
"20110035",44019,5201,223,140
"20160055",34,1,0,0
"19930200",2,7,0,0
"20030093",4,1,0,1
"20120825",10,2,0,0
"20020199",9,1,1,0
"20100181",457,60,1,2
"20160788",1595,148,4,6
"19960135",2,1,0,0
"20020186",4276,583,20,23
"20190961",161,17,0,2
"20050682",250,34,1,2
"20150089",2287,370,10,8
"20050210",5,2,0,0
"20050001",42650,5966,228,125
"20170406",393,31,0,1
"20090716",155,22,1,0
"20150075",1663,194,2,6
"20140091",48,3,2,0
"19940500",8808,1599,59,37
"20080094",586,81,1,6
"19940432",0,1,0,0
"20170848",138,12,0,0
"19970453",0,8,1,0
"20020556",0,8,0,0
"20050109",12,1,0,0
"20010603",21,207,4,7
"20090151",884,89,3,3
"20170867",21,1,0,0
"19950099",110,14,0,0
"20080084",11,1,0,0
"20170253",933,118,4,3
"20070100",35,3,0,0
"20080025",2,1,0,0
"20100199",7379,708,26,22
"20040188",32,4,0,1
"19990471",888,460,10,10
"20090019",3,1,0,0
"20140096",18,1,0,0
"19960412",15087,2062,76,73
"20080044",52,3,0,1
"19930001",1552,1251,55,43
"20170507",1574,216,9,4
"20130659",2839,307,10,6
"19980076",0,1,1,0
"20030446",5,2,2,0
"20060144",4,1,0,0
"20130613",1559,169,5,6
"20000417",2639,877,36,24
"20140120",993,98,4,5
"20010001",21170,2956,127,92
"20180007",9630,954,32,24
"20020091",1,1,0,0
"19930002",0,10,1,0
"20140500",46,2,1,0
"20050044",38,1,0,0
"20150002",18842,2087,90,52
"20160660",564,64,1,1
"20160162",2652,299,13,13
"19950424",762,508,19,17
"20120092",6,2,0,0
"19900058",0,1,0,0
"20050067",5488,910,24,37
"20080137",756,119,2,4
"20180810",-8,2,0,0
"20160840",241,20,0,1
"19900017",0,1,1,0
"20040506",0,19,0,0
"20120635",3272,372,6,6
"20060544",25,1,0,1
"20040527",0,12,0,0
"20040119",29,4,2,0
"19930400",0,1,0,0
"19920227",4863,1100,31,30
"20130234",570,86,6,2
"20160228",10,1,0,0
"20140201",15,1,0,0
"20080227",15,3,0,0
"20151018",796,100,3,2
"20130115",4921,553,19,22
"20120022",10781,1296,46,38
"20020081",19181,3026,110,87
"20030232",979,108,1,4
"20100444",3161,400,9,10
"20080049",7,1,0,1
"19980021",9,3,0,1
"20040078",0,1,0,0
"20130650",10,1,0,1
"20150947",469,51,0,5
"20040007",0,1,0,0
"20160156",0,1,0,0
"20120486",5665,651,24,15
"20190001",4663,610,21,14
"20170758",28,1,0,0
"20060170",0,0,0,0
"20130110",3342,346,12,5
"20100155",6486,715,19,30
"20000478",37,3,0,0
"20180247",4,3,0,0
"20000156",0,0,0,0
"20030601",0,1,0,1
"20100598",2,1,0,0
"20180051",-6,1,0,0
"20100025",7467,609,26,16
"20050563",1228,166,5,4
"20140183",2393,279,10,8
"20170562",1240,150,8,4
"20180040",37,1,0,0
"20040423",12,1,0,0
"20070676",152,9,0,1
"20170067",11,1,0,0
"20010015",0,3,0,0
"20160139",2105,212,3,6
"20070172",-13,2,0,0
"20040011",71623,8661,422,237
"20050509",0,1,0,0
"20070012",37,3,1,0
"20030054",27,4,0,0
"20060673",29,2,1,0
"20090084",25,1,0,0
"20130648",36,2,0,0
"20110008",8868,936,34,25
"20000142",37,8,2,1
"20020158",0,34,1,1
"20060103",448,42,1,3
"20080692",125,16,0,2
"20180525",1486,128,9,2
"20040772",0,4,0,0
"20110115",0,0,0,0
"20100771",159,24,2,0
"20130076",0,0,0,0
"20180787",136,17,0,1
"20190832",0,0,0,0
"20150147",5078,625,24,17
"20050640",38,2,0,0
"20120484",36,2,0,0
"20180881",64,10,0,0
"20060724",5,1,0,0
"19880400",-7,2,0,0
"20040013",17,1,0,0
"20130101",21,1,1,0
"19990101",0,1,0,1
"20100514",1064,115,3,7
"20050685",17,1,0,1
"20020001",6912,1961,64,54
"20110012",11097,1330,45,41
"20140164",4068,474,14,8
"20130546",9,3,0,0
"20080198",735,59,0,3
"20130221",1284,174,4,7
"20140163",885,106,5,6
"20010414",272,121,4,5
"20180203",437,36,0,1
"20140178",4427,486,18,19
"20160207",3540,454,14,11
"20010590",0,24,0,2
"20190133",977,103,4,2
"19980001",55815,7462,430,175
"20060203",44,6,0,0
"20080003",67718,8042,366,166
"20070629",214,30,0,1
"20100775",1422,169,3,9
"20010448",6,1,0,0
"20010053",0,79,4,2
"20180003",8522,974,43,31
"20110180",17156,1847,68,36
"20030201",27,36,0,2
"20090101",2252,341,8,3
"19970012",0,1,0,0
"19990210",29,4,1,1
"20130506",5,1,0,0
"20160125",1,1,0,0
"20120187",11,1,0,0
"20020164",500,136,8,4
"20090693",166,18,1,0
"20140519",1213,145,1,2
"20060085",3957,524,9,15
"20040185",0,46,0,0
"20100239",701,124,1,5
"20160235",6,1,0,0
"20090017",21212,2375,91,79
"20110646",1108,143,4,5
"20170928",159,23,0,0
"20170069",9,2,0,0
"20060660",225,26,0,1
"20130073",11372,1246,49,32
"20050021",0,3,0,0
"20080186",829,100,4,3
"20080493",191,20,0,2
"20180001",10527,1194,54,40
"20100060",23,1,1,0
"20000168",15949,2742,97,77
"20110640",365,32,1,1
"20140498",862,89,4,1
"20170153",6,1,0,1
"20180463",5054,616,21,16
"20020062",259,18,7,0
"20170426",211,20,0,2
"20110153",79,5,0,0
"20180199",1147,181,4,4
"20140563",2,1,1,0
"20030027",32,3,1,0
"20110767",3799,475,11,16
"20180644",236,19,0,2
"20090435",5529,789,35,22
"20040148",0,196,4,7
"20020235",81,4,0,1
"20030222",7,1,1,0
"20130795",6,1,0,0
"20060252",13,1,0,0
"19870098",0,118,4,2
"20110804",57,2,0,0
"20050039",50,2,1,0
"20060194",9601,1152,43,32
"20190197",810,97,5,2
"19990002",24775,3925,177,84
"20090174",951,99,4,3
"20060901",58,12,0,0
"20050629",191,16,1,1
"20030001",57949,7231,335,217
"19980439",2,1,0,0
"20190167",530,67,1,3
"20140194",757,94,2,3
"20070217",7320,815,29,33
"19960452",0,1,1,0
"20170886",405,45,1,3
"20030139",6,1,1,0
"20080520",3833,424,15,21
"20030007",6387,1563,54,30
"20170052",6864,722,17,29
"20100001",25984,3471,127,70
"20140039",42,2,1,0
"20100547",581,66,1,0
"20070092",8850,1242,36,37
"20050576",233,15,0,1
"20030101",0,1,0,0
"20120070",5,2,0,0
"20070036",9571,1188,37,33
"20030657",15,1,0,0
"20040004",74314,8808,441,234
"19930010",0,2,1,0
"20090402",1116,163,1,4
"20170771",183,16,1,1
"20080571",89,6,2,1
"20140010",4,1,0,0
"20000018",11861,2119,79,57
"20140086",29,1,0,0
"19910078",0,1,0,0
"20050022",52,5,1,0
"20150793",22,7,0,1
"20120011",2,1,1,0
"20040412",0,4,0,0
"20050804",611,57,0,1
"20070633",888,132,3,5
"20070040",3738,450,9,12
"20100578",152,17,0,2
"20060691",83,5,0,0
"20120185",5110,528,7,19
"20010049",0,1,0,1
"19970042",3320,1521,64,48
"20140700",1,1,1,0
"20150105",17,2,0,0
"20120553",156,18,1,0
"20160756",507,66,1,7
"20120887",33,2,0,1
"20060648",640,62,1,1
"20170615",1381,149,5,4
"20100082",65,3,2,0
"20180172",-2,1,0,0
"20100614",26,5,0,0
"20110944",3887,442,14,18
"20020487",0,1,0,0
"20110466",277,25,1,2
"20100101",28,1,0,0
"20050006",0,0,0,0
"20020439",12748,1743,67,47
"20140850",-6,1,0,0
"20030681",43631,5189,278,134
"20050025",24281,3005,97,71
"20160100",2227,258,5,10
"20130135",35,3,0,0
"19970404",1571,439,13,17
"19990053",0,1,0,0
"20070621",2863,392,7,19
"20090637",5,1,1,0
"20010109",6043,923,49,32
"20150889",0,1,0,0
"19990131",2106,1278,42,44
"20010106",1143,246,9,6
"19990011",6335,1647,75,49
"20140063",110,5,0,0
"20110424",317,34,2,1
"19950060",0,32,1,3
"20150077",38,1,0,0
"20050008",34,1,0,0
"20070733",2032,254,9,6
"20070001",7578,792,20,24
"20090005",25656,2936,115,103
"20070617",59,8,0,1
"20140191",7,1,1,0
"20100757",1,1,0,0
"20190934",1744,216,7,10
"20030649",0,12,0,0
"19940006",2250,737,26,30
"20050152",0,31,0,0
"20130048",5,1,0,0
"20090171",983,104,3,3
"20030097",1706,767,19,23
"19950005",13117,2615,92,70
"20070225",5,1,0,0
"19970426",9,2,1,0
"20050002",113,13,2,0
"20050230",26806,3416,123,99
"20120422",223,23,1,1
"19930222",4182,1645,62,54
"20020033",0,3,0,0
